D4;D10;D21;D36;D60
4.462E-02;4.857E-03;4.606E-02;3.413E-02;2.346E-01
5.043E-02;3.018E-02;6.047E-02;2.524E-02;1.403E-01
2.898E-02;2.089E-02;7.507E-02;4.507E-02;7.272E-02
9.984E-03;1.789E-02;3.197E-02;2.008E-01;5.118E-02
1.840E-02;5.402E-02;2.114E-02;1.002E-01;4.724E-01
1.393E-02;7.559E-03;1.072E-01;2.454E-01;1.052E-01
1.984E-02;3.072E-02;3.860E-02;7.172E-02;2.025E-01
1.986E-02;6.789E-02;1.062E+00;7.875E-02;6.168E-02
2.557E-02;3.599E-02;1.823E-02;2.803E-01;8.995E-02
6.003E-03;6.948E-03;1.160E-01;3.067E-01;3.387E-02
1.717E-02;3.343E-03;2.840E-01;7.875E-02;2.244E-02
6.702E-03;2.646E-02;4.611E-02;7.025E-02;3.208E-02
2.433E-03;4.531E-02;1.047E-01;2.253E-01;4.732E-02
2.117E-02;4.309E-03;2.317E-02;5.641E-02;5.676E-02
8.487E-03;5.838E-03;4.453E-02;6.622E-02;2.521E-02
2.172E-02;6.684E-03;6.153E-03;6.622E-02;3.332E-02
3.023E-02;2.061E-02;9.859E-02;3.419E-02;2.479E-02
7.851E-03;3.149E-03;4.849E-02;1.386E-01;7.003E-02
1.346E-02;3.759E-03;1.160E-02;2.475E-01;1.088E-01
6.873E-03;1.000E-01;6.629E-03;1.992E-01;6.132E-02
;5.096E-04;1.759E-02;6.219E-02;1.499E-01
;6.968E-03;2.156E-02;3.434E-02;1.549E-01
1.924E-02;1.290E-02;1.150E-02;1.881E-01;1.206E-01
2.271E-02;6.106E-03;1.469E-02;5.038E-02;5.751E-02
9.613E-02;8.255E-02;1.182E-02;3.038E-02;4.496E-02
4.260E-02;2.095E-02;2.041E-02;1.619E-02;1.003E-01
7.023E-02;7.894E-03;8.603E-03;1.104E-02;
1.137E-02;2.852E-02;1.996E-02;1.535E-01;
2.383E-02;4.596E-03;2.453E-02;3.996E-02;
7.308E-03;5.851E-03;5.464E-02;2.815E-02;
3.031E-02;1.068E-02;4.834E-02;6.794E-02;
8.780E-03;7.582E-03;8.767E-03;8.658E-02;
6.233E-03;8.487E-03;1.031E-02;2.243E-02;
1.076E-02;3.675E-02;2.041E-02;2.178E-02;
4.189E-03;5.622E-03;1.889E-02;3.414E-02;
1.552E-02;4.947E-02;8.012E-03;1.837E-02
7.964E-03;2.283E-02;6.544E-02;1.695E-01
5.957E-03;2.911E-03;7.430E-02;1.182E-01
3.834E-03;6.191E-03;3.432E-02;3.412E-01
6.900E-03;4.304E-03;2.300E-02;1.804E-01
6.491E-03;3.82E-02;4.065E-02;2.062E-01
1.052E-02;3.53E-02;2.676E-02;7.632E-02
8.048E-03;1.14E-02;3.684E-02;2.545E-01
6.060E-03;1.87E-03;1.604E-02;3.468E-02
3.970E-03;2.71E-03;;2.283E-01
3.220E-03;5.09E-03;1.600E-02;3.359E-01
5.235E-03;1.80E-03;5.788E-03;8.405E-02
2.087E-01;2.77E-03;;7.597E-02
2.946E-03;1.78E-02;1.317E-02;
1.902E-02;1.95E-03;3.550E-03;
3.676E-03;7.00E-03;1.903E-01;
3.995E-03;5.12E-03;1.944E-02;
1.814E-03;3.05E-03;2.539E-02;
1.294E-02;1.76E-03;9.887E-03;
1.390E-02;3.06E-03;8.384E-03;
5.197E-03;1.08E-02;8.251E-03;
1.559E-02;9.37E-03;8.581E-04;
1.543E-02;1.66E-02;8.687E-01;
2.133E-03;9.33E-03;1.145E-03;
4.789E-03;2.16E-02;2.807E-03;
9.127E-03;1.43E-02;;
2.754E-03;1.95E-02;2.395E-02;
8.033E-03;9.33E-03;;
1.324E-02;1.64E-02;5.097E-03;
2.885E-03;1.49E-02;1.245E-03;
1.768E-01;6.40E-03;;
4.581E-02;4.18E-03;1.858E-02;
1.877E-02;1.29E-02;1.858E-02;
1.179E-02;1.26E-02;1.935E-02;
3.215E-03;6.77E-03;2.538E-03;
1.165E-03;4.95E-03;2.238E-02;
1.371E-02;4.40E-03;2.408E-03;
1.728E-03;5.06E-03;4.008E-03;
1.911E-02;3.13E-03;3.825E-02;
6.219E-03;7.03E-03;9.472E-03;
7.228E-03;4.82E-03;8.996E-03;
8.299E-03;2.78E-03;2.100E-03;
2.572E-02;7.25E-03;1.357E-01;
2.963E-03;1.53E-02;4.855E-02;
1.861E-02;6.13E-03;1.797E-02;
1.016E-02;8.26E-03;3.712E-02;
2.817E-03;1.71E-02;5.728E-02;
3.303E-03;6.72E-03;;
6.384E-03;1.88E-02;;
0.00729315;4.48E-03;2.176E-02;
4.501E-03;2.25E-02;4.825E-02;
6.569E-03;9.76E-03;8.497E-02;
1.225E-03;7.35E-03;1.300E-01;
3.268E-03;2.06E-02;2.964E-02;
9.414E-03;5.54E-03;1.901E-02;
9.122E-03;6.76E-03;8.999E-03;
8.140E-03;4.23E-03;1.277E-02;
3.902E-03;;4.818E-02;
2.672E-03;;5.824E-02;
7.288E-03;;5.106E-02;
1.564E-02;;4.725E-02;
1.600E-02;;4.171E-01;
1.017E-03;;2.934E-01;
7.484E-03;;2.525E-01;
;;6.716E-02;
;;5.000E-02;
;;3.926E-02;
;;1.720E-01;
;;5.765E-02;
;;7.602E-02;
;;5.087E-02;
;;8.076E-02;
;;2.846E-02;
;;1.478E-02;
;;4.610E-02;
;;3.498E-02;
;;1.023E-01;
;;2.456E-02;
;;1.422E-01;
;;3.605E-02;
;;2.878E-02;
;;1.883E-02;
;;2.547E-02;
;;3.339E-02;
;;1.906E-02;
;;1.991E-02;
;;6.765E-02;
;;5.438E-02;
;;6.451E-02;
;;3.028E-02;
;;4.443E-02;
;;2.628E-02;
;;8.967E-02;
