D4;D10;D21;D36;D60
1.2469E-01;2.097E-02;;;
1.0263E-01;9.950E-03;;9.071E-02;
6.1253E-02;1.864E-02;0.05006;9.048E-02;
;3.826E-02;0.03522;5.408E-02;
1.2096E-01;4.705E-02;0.01823;6.950E-02;
3.4719E-02;2.059E-02;0.01534;1.083E-01;
1.4174E-02;;0.06207;1.721E-01;
2.2376E-02;3.803E-02;0.08586;5.058E-02;
;1.990E-02;0.00725;1.600E-01;
;3.826E-02;0.00600;6.453E-02;
1.9723E-02;1.684E-02;0.01745;;
3.4870E-03;4.865E-03;0.04514;4.488E-01;
1.7513E-03;4.604E-03;0.04444;0.756534;
2.2384E-02;4.782E-02;0.08190;2.532E-02;
3.1507E-02;2.529E-02;0.00882;1.054E-01;
1.5483E-02;6.462E-03;0.01553;
5.7987E-03;1.511E-02;0.01024;1.464E-01
1.2643E-02;2.642E-03;0.06153;2.067E-01
2.7002E-02;;0.08392;7.727E-02
;1.133E-02;0.00757;1.064E-01
9.8536E-03;1.330E-02;;1.995E-02
7.3969E-03;1.135E-02;;4.734E-02
5.3280E-04;5.843E-02;;
2.3505E-03;1.738E-02;;1.823E-01
5.4794E-04;1.056E-02;0.05588;1.042E-01
5.2603E-03;1.683E-02;0.01486;2.541E-02
7.0770E-03;3.833E-02;0.02383;
2.2764E-03;;0.04555;1.772E-02
1.1349E-03;3.076E-02;0.05548;1.343E-02
3.5462E-03;2.017E-02;;1.796E-02
2.1625E-03;4.362E-03;0.04372;2.263E-02
1.6431E-02;2.859E-03;0.01239;1.377E-02
3.1015E-03;9.667E-03;0.01426;
6.3674E-04;4.697E-03;0.01323;
7.5849E-03;3.422E-03;0.04346;
5.7751E-03;7.340E-03;;8.116E-02
1.7285E-03;7.440E-03;0.03678;9.772E-03
;7.446E-03;0.02812;5.825E-03
1.6853E-03;1.636E-03;0.03642;
2.5955E-03;5.485E-03;0.05896;6.842E-02
6.8421E-03;1.980E-02;0.03614;
7.2353E-03;3.090E-03;0.05777;
5.9255E-03;3.719E-03;0.22773;3.242E-01
;4.314E-03;0.22773;3.554E-02
2.5119E-03;;0.03413;7.023E-03
3.4404E-03;1.696E-01;0.06968;3.055E-02
5.9147E-03;7.063E-02;0.03885;4.503E-03
7.7737E-03;1.183E-01;;2.442E-03
1.5523E-02;3.039E-02;0.02273;
3.8835E-03;3.157E-02;0.04341;
4.8620E-03;4.372E-02;0.09024;
1.3330E-03;4.830E-02;0.02858;
1.2895E-02;2.765E-02;0.09217;
1.2789E-03;1.550E-02;;
7.8789E-03;9.893E-03;0.01476;
2.2843E-03;9.747E-03;;
3.3756E-03;2.683E-02;1.061E-01;
6.0993E-03;1.080E-02;1.721E-01;
4.9338E-04;2.289E-02;1.455E-01;
1.1785E-02;1.969E-02;5.449E-02;
2.3245E-02;7.921E-03;1.053E-01;
7.6757E-03;1.210E-02;5.826E-02;
8.3272E-03;1.529E-03;1.312E-01;
3.3785E-03;1.120E-02;4.333E-02
1.7828E-03;1.828E-02;3.040E-01
8.0894E-04;3.554E-02;6.884E-02
2.0940E-03;6.108E-03;
;9.231E-03;1.598E-01
2.8179E-03;7.364E-03;3.936E-01
;4.256E-03;3.348E-01
4.6267E-03;6.928E-03;1.091E-01
5.2389E-03;1.461E-03;1.691E-01
8.1206E-04;4.469E-03;
6.1828E-04;1.330E-03;1.782E-01
1.9930E-02;1.986E-02;1.337E-01
1.3357E-02;2.155E-02;7.629E-02
1.6591E-02;1.669E-02;3.315E-02
2.1563E-03;1.900E-02;
3.4499E-03;3.173E-03;8.793E-02
5.1885E-03;4.841E-03;1.253E-01
3.1308E-03;1.043E-02;1.307E-01
6.3757E-04;;9.059E-02
1.7459E-03;1.573E-02;1.918E-01
1.4332E-03;1.029E-02;2.279E-02
2.2577E-02;9.547E-03;7.107E-02
3.4505E-03;1.072E-01;3.646E-02
1.5710E-03;1.147E-01;7.381E-02
4.5526E-03;2.769E-01;4.591E-02
5.1097E-03;2.310E-02;6.773E-02
7.480E-02;1.803E-02;7.173E-03
1.683E-02;2.310E-02;1.418E-02
5.789E-02;1.097E-01;3.313E-02
5.590E-02;;5.835E-02
6.314E-02;4.425E-02;1.676E-02
2.624E-02;4.032E-02;8.078E-02
1.255E-02;2.355E-02;4.109E-02
2.257E-02;7.651E-02;2.275E-02
1.755E-02;1.766E-02;7.968E-02
2.479E-02;4.321E-02;5.040E-02
2.527E-02;1.097E-01;1.308E+00
3.188E-02;4.947E-02;5.532E-03
5.328E-03;9.818E-03;1.469E-01
2.306E-02;4.680E-03;3.533E-01
5.951E-03;3.709E-02;5.824E-02
2.682E-03;6.033E-02;1.320E-01
2.671E-02;6.931E-03;2.966E-02
1.021E-02;7.711E-03;7.751E-03
2.501E-02;9.888E-03;8.059E-03
3.703E-02;2.724E-02;1.113E-01
9.648E-03;6.815E-03;3.487E-02
1.654E-02;4.912E-03;1.415E-02
;;8.065E-03
;1.554E-03;2.181E-02
;1.062E-02;2.628E-02
;6.033E-02;1.455E-02
2.797E-02;9.208E-03;1.476E-02
1.077E-01;1.202E-01;1.108E-02
5.225E-02;2.493E-02;2.590E-02
9.039E-02;1.171E-02;1.025E-02
1.716E-02;3.855E-02;2.488E-02
;8.461E-03;3.058E-02
8.227E-03;8.460E-03;6.872E-02
1.281E-02;1.518E-02;6.161E-02
9.745E-03;1.063E-02;1.002E-02
7.553E-03;1.237E-02;1.088E-02
1.281E-02;4.821E-02;2.366E-02
5.167E-03;7.853E-03;2.352E-02
2.001E-02;6.625E-02;1.727E-02
9.278E-03;3.071E-02;
8.360E-03;4.235E-03;8.830E-02
4.827E-03;1.001E-02;4.403E-02
9.605E-03;5.51E-02;3.057E-02
6.921E-03;4.67E-02;5.612E-02
1.319E-02;1.46E-02;3.371E-02
1.077E-02;2.23E-03;
7.389E-03;3.07E-03;2.035E-02
