D4;D10;D21;D36;D60
5.24E-03;8.30E-03;1.08E-02;4.30E-02;2.63E-02
5.20E-03;8.26E-03;1.03E-02;4.00E-02;2.61E-02
5.02E-03;7.94E-03;9.89E-03;3.95E-02;2.52E-02
4.79E-03;7.89E-03;9.47E-03;3.92E-02;2.48E-02
4.50E-03;7.89E-03;9.00E-03;3.89E-02;2.30E-02
4.26E-03;7.88E-03;8.77E-03;3.74E-02;2.24E-02
4.19E-03;7.59E-03;8.60E-03;3.53E-02;2.22E-02
4.00E-03;7.58E-03;8.38E-03;3.51E-02;2.19E-02
3.98E-03;7.56E-03;8.25E-03;3.51E-02;1.68E-02
3.97E-03;7.56E-03;8.01E-03;3.47E-02;1.65E-02
3.90E-03;7.53E-03;6.63E-03;3.43E-02;1.46E-02
3.84E-03;7.52E-03;6.15E-03;3.42E-02;1.45E-02
3.83E-03;7.35E-03;5.79E-03;3.41E-02;1.43E-02
3.68E-03;7.25E-03;5.29E-03;3.41E-02;1.34E-02
3.60E-03;7.03E-03;5.10E-03;3.40E-02;1.26E-02
3.59E-03;7.00E-03;4.01E-03;3.39E-02;1.20E-02
3.41E-03;7.00E-03;3.55E-03;3.29E-02;1.19E-02
3.36E-03;6.99E-03;2.81E-03;3.13E-02;1.04E-02
3.30E-03;6.98E-03;2.54E-03;3.04E-02;9.61E-03
3.27E-03;6.97E-03;2.41E-03;2.93E-02;8.94E-03
3.22E-03;6.95E-03;2.10E-03;2.85E-02;2.19E-04
3.22E-03;6.79E-03;1.25E-03;2.82E-02;4.48E-05
3.14E-03;6.77E-03;1.15E-03;2.75E-02;3.32E-06
2.96E-03;6.76E-03;8.58E-04;2.60E-02;3.32E-06
2.95E-03;6.72E-03;;2.52E-02;
2.90E-03;6.68E-03;;2.29E-02;
2.89E-03;6.40E-03;;2.24E-02;
2.89E-03;6.39E-03;;2.18E-02;
2.84E-03;6.37E-03;;2.09E-02;
2.82E-03;6.19E-03;;2.07E-02;
2.82E-03;6.13E-03;;2.04E-02;
2.79E-03;6.12E-03;;2.01E-02;
2.78E-03;6.11E-03;;1.97E-02;
2.75E-03;6.05E-03;;1.84E-02;
2.67E-03;5.99E-03;;1.82E-02;
2.45E-03;5.90E-03;;1.77E-02;
2.43E-03;5.86E-03;;1.69E-02
2.14E-03;5.85E-03;;1.62E-02
2.13E-03;5.84E-03;;1.45E-02
2.12E-03;5.62E-03;;1.23E-02
2.07E-03;5.54E-03;;1.22E-02
2.03E-03;5.33E-03;;1.10E-02
2.03E-03;5.12E-03;;6.08E-03
1.97E-03;5.09E-03;;
1.96E-03;5.06E-03;;
1.95E-03;5.05E-03;;
1.82E-03;5.00E-03;;
1.81E-03;4.95E-03;;
1.81E-03;4.86E-03;;
1.77E-03;4.82E-03;;
1.77E-03;4.72E-03;;
1.73E-03;4.60E-03;;
1.73E-03;4.51E-03
1.71E-03;4.48E-03
1.57E-03;4.40E-03
1.56E-03;4.32E-03
1.38E-03;4.31E-03
1.32E-03;4.30E-03
1.30E-03;4.29E-03
1.29E-03;4.23E-03
1.28E-03;4.18E-03
1.25E-03;3.78E-03
1.25E-03;3.76E-03
1.23E-03;3.76E-03
1.20E-03;3.34E-03
1.17E-03;3.15E-03
1.12E-03;3.13E-03
1.02E-03;3.06E-03
9.46E-04;3.05E-03
9.18E-04;3.03E-03
9.15E-04;3.02E-03
8.42E-04;2.99E-03
8.25E-04;2.91E-03
7.50E-04;2.89E-03
7.50E-04;2.81E-03
7.02E-04;2.78E-03
6.81E-04;2.78E-03
6.46E-04;2.77E-03
6.13E-04;2.71E-03
5.39E-04;2.36E-03
5.16E-04;2.23E-03
4.75E-04;2.22E-03
4.53E-04;2.00E-03
3.75E-04;1.95E-03
3.70E-04;1.88E-03
3.54E-04;1.87E-03
3.40E-04;1.80E-03
3.35E-04;1.76E-03
3.05E-04;1.29E-03
2.66E-04;1.21E-03
2.54E-04;1.03E-03
2.31E-04;9.61E-04
1.33E-04;5.10E-04
8.80E-05;
7.64E-05;
6.47E-05;
6.47E-05;
2.32E-05;
